Qubit,T1,T2,Frequency (GHz),Anharmonicity (GHz),assigment_error,prob01,prob10,Readout length (ns),id,rz,sx,x,ecr,time,Operational
101,168.5228775,185.4381435,5.065359761,-0.306333148,0.0212,0.009,0.0334,1300,0.000262884,0,0.000262884,0.000262884,0.00869236,660,TRUE
102,128.494028,155.5052019,4.809844386,-0.309964705,0.0394,0.0436,0.0352,1300,0.000204774,0,0.000204774,0.000204774,0.007045956,660,TRUE
103,236.7967847,76.47283994,4.933467697,-0.307646202,0.0077,0.0086,0.0068,1300,0.000253341,0,0.000253341,0.000253341,0,660,TRUE
104,143.7390057,119.8587083,4.765569958,-0.310460949,0.0112,0.0122,0.0102,1300,0.000294229,0,0.000294229,0.000294229,0.008428289,660,TRUE
105,290.3267003,53.57862022,4.982215132,-0.307597363,0.0069,0.0072,0.0066,1300,0.000314999,0,0.000314999,0.000314999,0.00856897,660,TRUE
106,207.6745982,168.3746299,4.87821305,-0.309312951,0.0234,0.0232,0.0236,1300,0.000220229,0,0.000220229,0.000220229,0,660,TRUE
107,276.434036,85.30913178,4.916024498,-0.308002241,0.0194,0.02,0.0188,1300,0.000238531,0,0.000238531,0.000238531,0.00507744,660,TRUE
108,160.6067998,184.8642072,5.056238428,-0.306006746,0.0236,0.0222,0.025,1300,0.000206399,0,0.000206399,0.000206399,0.007483834,660,TRUE
109,261.9368929,205.8977182,4.984989298,-0.307115802,0.0228,0.0186,0.027,1300,0.000151676,0,0.000151676,0.000151676,0.007263676,660,TRUE
110,152.8551926,18.02715389,4.830168032,-0.309047231,0.0166,0.0236,0.0096,1300,0.001181772,0,0.001181772,0.001181772,0.018457384,660,TRUE
111,185.0182929,306.5458633,4.853171479,-0.309612552,0.0114,0.011,0.0118,1300,0.000186739,0,0.000186739,0.000186739,0.00833207,660,TRUE
112,163.3469116,31.96880725,5.002444176,-0.30619653,0.0068,0.0088,0.0048,1300,0.000274589,0,0.000274589,0.000274589,0.004717023,660,TRUE
113,250.1381139,197.6611857,5.03199931,-0.306769176,0.0091,0.0076,0.0106,1300,0.000162758,0,0.000162758,0.000162758,0.00752617,660,TRUE
114,334.1319584,40.3293133,4.822460552,-0.30937992,0.1448,0.1474,0.1422,1300,0.00022641,0,0.00022641,0.00022641,0.010104385,660,TRUE
115,202.6528055,126.52617,5.028019381,-0.306819344,0.0108,0.0112,0.0104,1300,0.000209221,0,0.000209221,0.000209221,0,660,TRUE
116,265.0742313,219.7654205,4.912739925,-0.308298395,0.0086,0.0102,0.007,1300,0.000198096,0,0.000198096,0.000198096,0.00847308,660,TRUE
117,216.5696026,180.7064115,4.833106733,-0.309214183,0.0198,0.0206,0.019,1300,0.000488746,0,0.000488746,0.000488746,0.006787447,660,TRUE
118,179.7092876,242.1980254,4.732976784,-0.310316229,0.0057,0.006,0.0054,1300,0.000218359,0,0.000218359,0.000218359,0.0052701,660,TRUE
119,293.5549939,163.0935893,4.802679745,-0.289805657,0.0371,0.0414,0.0328,1300,0.000321733,0,0.000321733,0.000321733,0,660,TRUE
120,252.8018366,177.744568,4.836609161,-0.308829499,0.0196,0.0286,0.0106,1300,0.000673764,0,0.000673764,0.000673764,0.011298497,660,TRUE
121,254.3254728,195.4149084,4.96792236,-0.308319275,0.0164,0.0172,0.0156,1300,0.000335947,0,0.000335947,0.000335947,0.008598881,660,TRUE
122,260.2510193,200.0522909,4.937579493,-0.307131343,0.0197,0.0218,0.0176,1300,0.000279831,0,0.000279831,0.000279831,0.008521602,660,TRUE
123,218.7546155,143.2736795,5.034344478,-0.306394565,0.0176,0.023,0.0122,1300,0.000299109,0,0.000299109,0.000299109,0,660,TRUE
124,249.9605922,198.6767394,4.949173442,-0.307286092,0.011,0.0108,0.0112,1300,0.000169252,0,0.000169252,0.000169252,0.00677053,660,TRUE
125,271.1936021,184.5052345,4.859116288,-0.30819396,0.015,0.016,0.014,1300,0.000183585,0,0.000183585,0.000183585,0.006998076,660,TRUE
126,230.7272936,189.9100349,4.908243299,-0.308575726,0.0116,0.0128,0.0104,1300,0.000146063,0,0.000146063,0.000146063,0,660,TRUE
